GENRE,PRICE,LENGTH,RATING,WATCH
drama,$$$,short,5,yes
drama,ok,medium,4,maybe
drama,$$$,very-long,4,maybe
drama,$$$,medium,3,yes
drama,$$$,short,4,no
drama,$$$,medium,5,maybe
drama,$$$,medium,3,no
drama,low,medium,5,maybe
drama,$$$,medium,5,maybe
drama,ok,very-long,3,no
comedy,high,medium,5,no
comedy,ok,long,5,no
comedy,low,medium,5,no
comedy,high,long,5,no
comedy,$$$,medium,4,no
comedy,ok,medium,5,no
comedy,$$$,medium,4,no
action,ok,very-long,5,yes
action,ok,very-long,3,yes
action,low,long,5,no
action,low,long,3,no
action,high,long,3,no
