Status,cap-shape,cap-surface,bruises?,odor,gill-attachment,gill-spacing,gill-size,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color,ring-number,ring-type,habitat
e,f,y,t,p,f,c,n,e,s,s,w,o,p,g
e,x,f,t,n,f,c,b,t,s,s,w,o,p,d
e,x,y,f,f,f,c,b,e,k,k,w,o,l,p
e,f,f,f,f,f,c,b,e,k,k,w,o,l,d
e,f,f,t,n,f,c,b,t,s,s,w,o,p,d
p,x,y,f,f,f,c,b,e,k,k,w,o,l,p
p,f,f,f,f,f,c,b,e,k,k,w,o,l,p
p,f,f,f,f,f,c,b,e,k,k,w,o,l,p
p,f,y,f,f,f,c,b,e,k,k,w,o,l,d
p,x,y,f,f,f,c,b,e,k,k,w,o,l,d
p,b,y,t,n,f,c,b,e,s,s,w,t,p,m
p,f,f,f,f,f,c,b,e,k,k,w,o,l,p
p,x,y,f,f,f,c,n,t,k,s,w,o,e,d
p,f,f,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,f,f,c,b,e,k,k,w,o,l,g
p,f,y,f,f,f,c,b,e,k,k,w,o,l,p
e,f,y,t,n,f,c,b,e,s,s,w,t,e,w
p,x,s,t,f,f,c,b,t,s,s,w,o,p,g
p,f,y,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,f,f,c,b,e,k,k,w,o,l,p
p,x,f,f,f,f,c,b,e,k,k,w,o,l,g
p,f,s,t,f,f,c,b,t,f,s,w,o,p,u
p,x,f,f,c,f,c,n,e,s,s,w,o,p,d
p,x,f,f,f,f,c,b,e,k,k,w,o,l,p
p,f,y,f,f,f,c,b,e,k,k,w,o,l,g
p,f,y,f,f,f,c,b,e,k,k,w,o,l,p
e,x,y,f,n,f,c,n,e,s,f,w,o,f,d
e,f,y,f,n,f,c,n,e,s,f,w,o,f,d
p,x,f,f,f,f,c,b,e,k,k,w,o,l,d
p,f,y,f,f,f,c,b,e,k,k,w,o,l,p
p,f,y,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,y,f,c,n,t,k,k,w,o,e,p
p,x,y,f,y,f,c,n,t,k,k,w,o,e,l
p,x,y,f,f,f,c,b,e,k,k,w,o,l,d
p,x,y,f,f,f,c,b,e,k,k,w,o,l,g
p,f,f,f,f,f,c,b,e,k,k,w,o,l,d
p,x,y,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,f,f,c,b,e,k,k,w,o,l,d
p,f,f,f,f,f,c,b,e,k,k,w,o,l,p
e,f,s,t,n,f,c,b,e,s,s,w,t,e,w
p,f,f,f,f,f,c,b,e,k,k,w,o,l,p
p,x,y,f,f,f,c,b,e,k,k,w,o,l,p
p,f,s,t,f,f,c,b,t,f,s,w,o,p,g
p,f,f,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,f,f,c,b,e,k,k,w,o,l,d
p,x,f,f,f,f,c,b,e,k,k,w,o,l,p
p,x,s,t,f,f,c,b,t,f,f,w,o,p,u
p,f,y,f,f,f,c,b,e,k,k,w,o,l,g
p,f,f,f,f,f,c,b,e,k,k,w,o,l,g
p,x,s,f,c,f,c,n,e,s,s,w,o,p,d
p,f,y,f,f,f,c,b,e,k,k,w,o,l,p
e,f,y,t,n,f,c,b,t,s,s,w,o,p,d
p,x,f,f,f,f,c,b,e,k,k,w,o,l,g
p,x,y,f,f,f,c,b,e,k,k,w,o,l,p
e,k,s,t,n,f,c,b,e,s,s,w,t,e,w
p,f,f,f,f,f,c,b,e,k,k,w,o,l,g
p,f,f,f,f,f,c,b,e,k,k,w,o,l,d
